Slug,Date,Open,High,Low,Close,Volume,Market Cap
bitcoin,Dec 21/ 2017,16642.4,17567.7,15342.7,15802.9,16516600000,2.78827E+11
bitcoin,Dec 20/ 2017,17760.3,17934.7,16077.7,16624.6,22149700000,2.97526E+11
bitcoin,Dec 19/ 2017,19118.3,19177.8,17275.4,17776.7,16894500000,3.20242E+11
bitcoin,Dec 18/ 2017,19106.4,19371,18355.9,19114.2,14839500000,3.2E+11
bitcoin,Dec 17/ 2017,19475.8,20089,18974.1,19140.8,13314600000,3.26141E+11
bitcoin,Dec 16/ 2017,17760.3,19716.7,17515.3,19497.4,12740600000,2.97376E+11
bitcoin,Dec 15/ 2017,16601.3,18154.1,16601.3,17706.9,14310000000,2.77936E+11
bitcoin,Dec 14/ 2017,16384.6,17085.8,16185.9,16564,13777400000,2.74269E+11
bitcoin,Dec 13/ 2017,17500,17653.1,16039.7,16408.2,12976900000,2.929E+11
bitcoin,Dec 12/ 2017,16919.8,17781.8,16571.6,17415.4,14603800000,2.83155E+11
bitcoin,Dec 11/ 2017,15427.4,17513.9,15404.8,16936.8,12153900000,2.58147E+11
bitcoin,Dec 10/ 2017,15168.4,15850.6,13226.6,15455.4,13433300000,2.53782E+11
bitcoin,Dec 09/ 2017,16523.3,16783,13674.9,15178.2,13911300000,2.76415E+11
bitcoin,Dec 08/ 2017,17802.9,18353.4,14336.9,16569.4,21136000000,2.97787E+11
bitcoin,Dec 07/ 2017,14266.1,17899.7,14057.3,17899.7,17950700000,2.386E+11
bitcoin,Dec 06/ 2017,11923.4,14369.1,11923.4,14291.5,12656300000,1.9939E+11
bitcoin,Dec 05/ 2017,11685.7,12032,11604.6,11916.7,6895260000,1.95389E+11
bitcoin,Dec 04/ 2017,11315.4,11657.2,11081.8,11657.2,6132410000,1.89172E+11
bitcoin,Dec 03/ 2017,11082.7,11858.7,10862,11323.2,6608310000,1.85258E+11
bitcoin,Dec 02/ 2017,10978.3,11320.2,10905.1,11074.6,5138500000,1.8349E+11
bitcoin,Dec 01/ 2017,10198.6,11046.7,9694.65,10975.6,6783120000,1.70436E+11
bitcoin,Nov 30/ 2017,9906.79,10801,9202.05,10233.6,8310690000,1.65537E+11
bitcoin,Nov 29/ 2017,10077.4,11517.4,9601.03,9888.61,11568800000,1.68367E+11
bitcoin,Nov 28/ 2017,9823.43,10125.7,9736.3,10058.8,6348820000,1.64104E+11
bitcoin,Nov 27/ 2017,9352.72,9818.35,9352.72,9818.35,5653320000,1.56221E+11
bitcoin,Nov 26/ 2017,8789.04,9522.93,8775.59,9330.55,5475580000,1.46789E+11
