Slug,Date,Open,High,Low,Close,Volume,Market Cap
dogecoin,Feb 09/ 2018,0.004560,0.005011,0.004313,0.005000,11190100,515803000
dogecoin,Feb 08/ 2018,0.004263,0.004872,0.004263,0.004566,9462680,482167000
dogecoin,Feb 07/ 2018,0.004314,0.004800,0.003934,0.004297,12990100,487888000
dogecoin,Feb 06/ 2018,0.003544,0.004421,0.003036,0.004361,19139100,400769000
dogecoin,Feb 05/ 2018,0.004397,0.004470,0.003376,0.003533,12489400,497115000
dogecoin,Feb 04/ 2018,0.005182,0.005317,0.004176,0.004399,12961600,585833000
dogecoin,Feb 03/ 2018,0.004501,0.005495,0.004159,0.005164,18018100,508803000
dogecoin,Feb 02/ 2018,0.005023,0.005023,0.003310,0.004475,29913700,567659000
dogecoin,Feb 01/ 2018,0.006021,0.006090,0.004791,0.005029,18748700,680468000
dogecoin,Jan 31/ 2018,0.006001,0.006219,0.005752,0.006010,14754700,678023000
dogecoin,Jan 30/ 2018,0.006969,0.006992,0.005942,0.006024,15855900,787316000
dogecoin,Jan 29/ 2018,0.007401,0.007522,0.006863,0.006967,13073100,836111000
dogecoin,Jan 28/ 2018,0.007409,0.007681,0.007337,0.007465,14070700,836842000
dogecoin,Jan 27/ 2018,0.007240,0.007545,0.007168,0.007373,11672900,817646000
dogecoin,Jan 26/ 2018,0.007702,0.007982,0.006795,0.007237,19572300,869786000
dogecoin,Jan 25/ 2018,0.007155,0.007763,0.007124,0.007667,21329400,807855000
dogecoin,Jan 24/ 2018,0.006642,0.007217,0.006472,0.007083,17449900,749844000
dogecoin,Jan 23/ 2018,0.006723,0.007049,0.006228,0.006673,17882700,758898000
dogecoin,Jan 22/ 2018,0.007199,0.007606,0.006318,0.006734,19968600,812486000
dogecoin,Jan 21/ 2018,0.008438,0.008438,0.006983,0.007131,22933100,952223000
dogecoin,Jan 20/ 2018,0.007957,0.008649,0.007957,0.008448,22974100,897889000
dogecoin,Jan 19/ 2018,0.007872,0.008435,0.007467,0.007871,30335700,888183000
dogecoin,Jan 18/ 2018,0.007641,0.008733,0.007195,0.007969,56599300,861978000
dogecoin,Jan 17/ 2018,0.006812,0.007741,0.005499,0.007648,58846200,768365000
dogecoin,Jan 16/ 2018,0.009863,0.009863,0.005672,0.006822,68099200,1112470000
dogecoin,Jan 15/ 2018,0.011631,0.011779,0.009848,0.009857,62765500,1311640000
dogecoin,Jan 14/ 2018,0.013057,0.013187,0.011344,0.011685,65899000,1472360000
dogecoin,Jan 13/ 2018,0.013057,0.013653,0.012478,0.013023,55890600,1472140000
dogecoin,Jan 12/ 2018,0.011479,0.013339,0.011165,0.013056,56971300,1294100000
dogecoin,Jan 11/ 2018,0.013020,0.013153,0.010987,0.011469,62722000,1467560000
dogecoin,Jan 10/ 2018,0.013554,0.013560,0.011485,0.013102,100243000,1527610000
dogecoin,Jan 09/ 2018,0.015071,0.015569,0.013015,0.013420,115255000,1698420000
dogecoin,Jan 08/ 2018,0.017115,0.017664,0.013765,0.015045,235114000,1928420000
dogecoin,Jan 07/ 2018,0.014673,0.018773,0.014577,0.017088,288184000,1653070000
dogecoin,Jan 06/ 2018,0.012226,0.015788,0.012226,0.014863,283717000,1377290000
dogecoin,Jan 05/ 2018,0.009660,0.012283,0.009589,0.012167,212383000,1088070000
dogecoin,Jan 04/ 2018,0.009346,0.010036,0.008768,0.009644,108986000,1052520000
dogecoin,Jan 03/ 2018,0.009088,0.009584,0.008882,0.009320,66349900,1023380000
dogecoin,Jan 02/ 2018,0.008873,0.009598,0.008551,0.009145,89424100,998995000
dogecoin,Jan 01/ 2018,0.009031,0.009063,0.008101,0.008909,50616900,1016690000
ethereum,Feb 23/ 2018,811.59,886.32,794.79,864.19,2334820000,79358900000
ethereum,Feb 22/ 2018,849.26,875.93,802.67,812.85,2150370000,83025800000
ethereum,Feb 21/ 2018,894.13,912.38,830.56,849.97,2531730000,87394200000
ethereum,Feb 20/ 2018,943.57,965.26,892.95,895.37,2545260000,92206500000
ethereum,Feb 19/ 2018,921.67,957.78,921.55,943.87,2169020000,90047700000
ethereum,Feb 18/ 2018,973.35,982.93,915.45,923.92,2567290000,95077100000
ethereum,Feb 17/ 2018,944.75,976.60,940.75,974.12,2525720000,92264000000
ethereum,Feb 16/ 2018,934.79,950.00,917.85,944.21,2369450000,91272100000
ethereum,Feb 15/ 2018,923.73,951.95,911.11,936.98,2900100000,90173300000
ethereum,Feb 14/ 2018,844.28,926.43,844.28,923.56,2818370000,82400600000
ethereum,Feb 13/ 2018,869.29,870.71,828.84,845.26,2081170000,84824200000
ethereum,Feb 12/ 2018,817.51,875.94,817.51,868.71,2243450000,79754400000
ethereum,Feb 11/ 2018,859.29,859.29,788.22,814.66,2486650000,83813000000
ethereum,Feb 10/ 2018,882.47,917.40,825.58,860.41,2930530000,86055600000
ethereum,Feb 09/ 2018,818.48,884.00,788.83,883.87,2495820000,79799300000
ethereum,Feb 08/ 2018,755.84,845.09,755.84,817.81,3708190000,73676900000
ethereum,Feb 07/ 2018,790.43,851.20,723.43,757.07,3896180000,77032000000
ethereum,Feb 06/ 2018,707.74,796.44,574.42,793.12,6518270000,68958700000
ethereum,Feb 05/ 2018,834.96,856.65,644.60,697.95,4269530000,81337400000
ethereum,Feb 04/ 2018,964.67,969.03,805.06,834.68,2997090000,93953400000
ethereum,Feb 03/ 2018,919.21,991.94,847.69,964.02,3243480000,89507600000
ethereum,Feb 02/ 2018,1035.77,1035.77,757.98,915.78,6713290000,100836000000
ethereum,Feb 01/ 2018,1119.37,1161.35,984.82,1036.79,5261680000,108952000000
ethereum,Jan 31/ 2018,1071.09,1128.66,1034.50,1118.31,3757560000,104231000000
ethereum,Jan 30/ 2018,1184.13,1184.63,1058.97,1071.13,4107860000,115207000000
ethereum,Jan 29/ 2018,1246.70,1256.70,1169.08,1182.36,3715080000,121269000000
ethereum,Jan 28/ 2018,1111.78,1257.77,1111.78,1246.01,5372330000,108122000000
ethereum,Jan 27/ 2018,1055.75,1121.98,1042.12,1107.07,3002870000,102651000000
ethereum,Jan 26/ 2018,1052.70,1080.60,996.78,1055.17,3617690000,102334000000
ethereum,Jan 25/ 2018,1063.22,1104.66,1034.74,1056.03,4050190000,103335000000
ethereum,Jan 24/ 2018,987.48,1062.44,965.81,1058.78,3944040000,95952700000
ethereum,Jan 23/ 2018,1004.17,1023.23,920.54,986.23,3556700000,97554300000
ethereum,Jan 22/ 2018,1055.35,1089.10,930.74,1003.26,3810100000,102504000000
ethereum,Jan 21/ 2018,1155.68,1155.68,1021.50,1049.58,3378090000,112226000000
ethereum,Jan 20/ 2018,1044.95,1167.11,1044.95,1155.15,3975190000,101451000000
ethereum,Jan 19/ 2018,1028.82,1093.22,1003.71,1039.10,4084450000,99863900000
ethereum,Jan 18/ 2018,1016.44,1100.31,967.76,1036.28,5938320000,98642100000
ethereum,Jan 17/ 2018,1061.34,1090.23,780.92,1014.25,8545160000,102974000000
ethereum,Jan 16/ 2018,1292.63,1292.63,875.54,1053.69,8405140000,125389000000
ethereum,Jan 15/ 2018,1365.21,1390.59,1290.60,1291.92,4781100000,132404000000
ethereum,Jan 14/ 2018,1397.48,1400.56,1286.21,1366.77,4841630000,135503000000
ethereum,Jan 13/ 2018,1270.47,1432.88,1270.47,1396.42,5746760000,123163000000
ethereum,Jan 12/ 2018,1158.29,1296.04,1120.09,1273.20,5222300000,112263000000
ethereum,Jan 11/ 2018,1268.09,1337.30,1135.17,1154.93,7235900000,122879000000
ethereum,Jan 10/ 2018,1300.34,1417.38,1226.60,1255.82,9214950000,125976000000
ethereum,Jan 09/ 2018,1146.00,1320.98,1145.49,1299.74,7965460000,110999000000
ethereum,Jan 08/ 2018,1158.26,1266.93,1016.05,1148.53,8450970000,112164000000
ethereum,Jan 07/ 2018,1043.01,1153.17,1043.01,1153.17,5569880000,100981000000
ethereum,Jan 06/ 2018,995.15,1060.71,994.62,1041.68,4662220000,96326500000
ethereum,Jan 05/ 2018,975.75,1075.39,956.33,997.72,6683150000,94423900000
ethereum,Jan 04/ 2018,961.71,1045.08,946.09,980.92,6502860000,93049400000
ethereum,Jan 03/ 2018,886.00,974.47,868.45,962.72,5093160000,85703500000
ethereum,Jan 02/ 2018,772.35,914.83,772.35,884.44,5783350000,74695700000
ethereum,Jan 01/ 2018,755.76,782.53,742.00,772.64,2595760000,73075800000
ripple,Feb 23/ 2018,0.934176,1.03,0.898286,0.998855,896404000,36441500000
ripple,Feb 22/ 2018,1.01,1.05,0.922458,0.941788,889707000,39487400000
ripple,Feb 21/ 2018,1.08,1.10,0.998881,1.02,871526000,42207600000
